order_id;product_id;quantity;unit_price;discount_amount;ingestion_ts;ingest_date;source_file
O000001;P00029;2;567.16;21.74;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000001;P00033;2;528.52;84.09;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000002;P00058;1;416.65;50.29;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000003;P00012;3;466.25;11.88;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000003;P00032;2;640.06;173.63;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000003;P00005;1;345.66;25.7;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000004;P00051;3;250.5;29.28;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000004;P00044;2;32.07;7.34;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000004;P00057;3;308.11;57.43;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000005;P00030;2;614.95;87.01;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000005;P00054;2;792.26;142.6;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000005;P00031;3;443.93;39.03;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000006;P00037;3;798.99;163.9;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000007;P00020;3;393.66;30.86;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000008;P00046;two;;21.56;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000008;P00025;2;535.25;98.04;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000009;P00052;1;45.87;9.59;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000009;P00019;2;540.62;149.45;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000009;P00005;2;157.48;14.59;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000009;P00004;1;410.22;83.89;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000010;P00007;1;720.1;94.71;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000010;P00060;1;754.51;73.8;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000010;P00018;3;533.93;154.42;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000010;P00041;3;33.42;9.98;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000011;P00051;1;578.74;66.64;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000011;P00057;2;416.15;50.1;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000011;P00043;3;384.89;111.7;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000012;P00049;1;197.61;49.24;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000012;P00044;3;436.34;102.24;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000012;P00059;2;482.13;84.45;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000013;P00016;2;113.43;27.15;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000013;P00030;1;483.87;101.81;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000013;P00001;2;376.78;0.97;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000013;P00018;3;248.53;14.02;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000014;P00048;2;776.15;203.22;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000015;P00036;2;38.34;11.38;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000015;P00004;2;526.2;62.37;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000016;P00022;1;368.65;46.67;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000016;P00035;3;513.79;114.26;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000016;P00059;3;265.37;10.78;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000017;P00014;1;432.78;37.81;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000017;P00038;2;177.25;8.76;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000018;P00043;3;719.79;122.69;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000018;P00025;3;414.38;5.0;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
O000018;P00033;2;102.57;16.82;2026-06-07T18:52:44.196Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/order_items.csv
