order_id;customer_id;order_ts;status;payment_method;total_amount;currency;ingestion_ts;ingest_date;source_file
O000001;C00083;;paid;debit_card;48.82;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000002;C00080;01/12/2025 05:57;created;credit_card;273.29;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000003;C00098;01/12/2025 16:11;created;pix;253.15;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000004;C00029;01/12/2025 23:51;paid;credit_card;390.82;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000005;C00036;01/12/2025 11:07;shipped;;254.92;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000006;C00014;01/12/2025 06:12;paid;credit_card;997.05;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000007;C00080;2025-12-01 17:11:00;shipped;credit_card;661.65;USD;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000008;C00060;2025-12-01 19:05:00;cancelled;;0;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000009;C00108;2025-12-01 22:51:00;paid;debit_card;267.58;;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000010;C00070;2025-12-01 11:15:00;shipped;boleto;84.28;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000011;C00071;2025-12-01 01:29:00;delivered;credit_card;255.52;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000012;C00093;2025-12-01 11:37:00;paid;credit_card;240.81;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
O000013;C00119;01/12/2025 22:19;delivered;pix;951.24;BRL;2026-06-07T18:52:42.684Z;2025-12-01;file:///opt/spark/data_input/ingest_date=2025-12-01/orders.csv
